item_name,Alias,Category,Shelf Life
Gluten Free Chocolate?Pastry,Gluten Free Chocolate?Pastry,Desserts,
Pineapple & Red Velvet Pastry Combo,Pineapple & Red Velvet Pastry Combo,Desserts,
Assorted Pack Of 6 Jars,Assorted Pack Of 6 Jars,Desserts,
Bunny Cake Bento Cake,Bunny Cake Bento Cake,Seasonal,
Best Husband Bento Cake,Best Husband Bento Cake,Seasonal,
Easter Bloom Bento Cake,Easter Bloom Bento Cake,Seasonal,
Easter Treasure Eggs (2 Pcs),Easter Treasure Eggs (2 Pcs),Seasonal,
Easter Special Cup Cake (4 Pcs),Easter Special Cup Cake (4 Pcs),Seasonal,
Mr. Perfect Dairy Milk Cake (500 Gm),Mr. Perfect Dairy Milk Cake (500 Gm),Seasonal,
Best Husband Truffle Cake (500 Gm),Best Husband Truffle Cake (500 Gm),Seasonal,
To My King Butterscotch Cake (500 Gm),To My King Butterscotch Cake (500 Gm),Seasonal,
Happy Easter Chocolate Truffle Cake (500 Gm),Happy Easter Chocolate Truffle Cake (500 Gm),Seasonal,
Easter Bunny Bento Cake,Easter Bunny Bento Cake,Seasonal,
Easter Blessing Dairy Milk Cake (500 Gm),Easter Blessing Dairy Milk Cake (500 Gm),Seasonal,
Rose & Pistachio Tea Cake (200 Gm),Rose & Pistachio Tea Cake (200 Gm),Cakes,
Happy Mother's Day Bento Cake (300 Gm),Happy Mother's Day Bento Cake (300 Gm),Seasonal,
Mango Mousse Milk Cake (500 Gm),Mother's Day Special Mango Mousse Milk Cake (500 Gm),Seasonal,
Fresh Mango Cream Cake (500 Gm),Fresh Mango Cream Cake (500 Gm),Cakes,3 Days
Fresh Mango Pastry,Fresh Mango Pastry,Pastry,3 Days
Chocolate Nougat Cake (500 Gm),Chocolate Nougat Cake (500 Gm),Cakes,5 Days
Ferrero Rocher Cake (500 Gm),Ferrero Rocher Cake (500 Gm),Cakes,5 Days
Burnt Basque Cheese Cake (600 Gm),Burnt Basque Cheese Cake (600 Gm),Cheesecakes,4 Days
Fresh Cream Mango Bento Cake (300 Gm),Fresh Cream Mango Bento Cake (300 Gm),Cakes,3 Days
Mangoffee Dream Pie,Mangoffee Dream Pie,Desserts,3 Days
Homemade Mango Pudding Cake (500 Gm),Homemade Mango Pudding Cake (500 Gm),Seasonal,3 Days
Mother's Day Special Rabri Milk Cake (500 Gm),Mother's Day Special Rabri Milk Cake (500 Gm),Seasonal,3 Days
Mother's Day Special Truffle Cake (500 Gm),Chocolate Truffle Eggless Cake (500 Gms),Cakes,5 Days
Mom's Slice Cake (bento 300 Gm),Mom's Slice Cake (bento 300 Gm),Seasonal,3 Days
Floral Cake (500 Gm),Floral Cake (500 Gm),Seasonal,3 Days
Mother's Day Goodie Bag,Mother's Day Goodie Bag,Seasonal,3 Days
Mango Chocolate Cake (500 Gm),Mango Chocolate Cake (500 Gm),Cakes,3 Days
NY Style Mango Croissant,NY Style Mango Croissant,Seasonal,3 Days
Mango Pudding Tub,Mango Pudding Tub,Seasonal,3 Days
Mango Aam Papad Croissant,Mango Aam Papad Croissant,Seasonal,3 Days
Cookie Katori Cup,Cookie Katori Cup,Desserts,3 Days
Black Forest Cake (600 Gm),Black Forest Cake (500 Gm),Cakes,3 Days
Father's Day Special Sugarfree Chocolate Mousse Cake (400 Gm),Sugarfree Chocolate Mousse Cake (400 Gm),Cakes,5 Days
World's Best Father Bento Cake (300 Gm),World's Best Father Bento Cake (300 Gm),Seasonal,5 Days
Father's Day Special Butterscotch Cake (500 Gm),Butterscotch Eggless Cake (500 Gms),Seasonal,3 Days
Desi Fruit Cream Cake (400 Gm),Desi Fruit Cream Cake (400 Gm),Seasonal,3 Days
Superdad Bento Cake (300 Gm),Superdad Bento Cake (300 Gm),Seasonal,4 Days
Father's Day Special Pineapple Cake (500 Gm),Pineapple Eggless Cake (500 Gms),Cakes,3 Days
Father's Day Special Truffle Cake (500 Gm),Chocolate Truffle Eggless Cake (500 Gms),Cakes,5 Days
Mai Hoon Na Poster Bento Cake (300 Gm),Mai Hoon Na Poster Bento Cake (300 Gm),Seasonal,4 Days
London Viral Cake Slice,London Viral Cake Slice,Desserts,4 Days
Nutella Crunch Tub,Nutella Crunch Tub,Desserts,4 Days
Filter Coffee Basque Cheesecake Slice,Filter Coffee Basque Cheesecake Slice,Desserts,4 Days
